EmployeeID,First_Name,Surname,StreetAddress,City,StateFull,ZipCode,Country,CountryFull,Age,Office,Start_Date,Termination_Date,Office_Type,Department,Currency,Bonus_pct,Job_title,DOB,level,Active Status,Job_Profile,Compensation,start_year,termination_year,tenure_months,tenure_years,State_code,Salary(USD)
100001,Patrice,Moore,1427 Buckhannan Avenue,North Syracuse,New York,13212,US,United States,37.0,NYC,2009-05-04,,Corporate,Corporate,USD,1.0,CEO,1986-01-05,CSuite,1,JP_1000,500000.0,2009,0,172.1228848162824,14.14708642325609,NY,500000.0
100002,David,Rickards,4265 Graystone Lakes,Macon,Georgia,31206,US,United States,52.0,NYC,2009-05-04,,Corporate,Corporate,USD,0.2,HR Manager,1971-07-13,Manager,1,JP_1001,100000.0,2009,0,172.1228848162824,14.14708642325609,GA,70000.0
100003,Grace,Maldonado,1680 Hudson Street,Weehawken,New Jersey,07087,US,United States,34.0,NYC,2009-05-18,2013-06-05 00:00:00.000000,Corporate,Marketing,USD,0.15,Graphic Designer,1989-01-25,Individual Contributor,0,JP_1027,75000.0,2009,2013,49.3,4.052054794520548,NJ,77000.0
100004,Justin,Edgin,1262 Limer Street,Rome,Georgia,30165,US,United States,27.0,Boulder,2009-06-22,2013-10-16 00:00:00.000000,Corporate,Technology,USD,0.5,CTO,1996-05-01,CSuite,0,JP_1041,400000.0,2009,2013,52.56666666666667,4.32054794520548,GA,400000.0
100005,Benjamin,Vargas,2431 Rainbow Road,Santa Ana,California,92705,US,United States,51.0,NYC,2009-07-13,2011-01-10 00:00:00.000000,Corporate,Customer Service,USD,0.15,Associate Account Manager,1972-05-05,Manager,0,JP_1018,,2009,2011,18.2,1.4958904109589042,CA,51000.0
100006,Nelson,Grillo,3645 Coolidge Street,North Custer,Montana,59024,US,United States,30.0,NYC,2009-07-20,2021-09-11 00:00:00.000000,Corporate,Sales,USD,0.15,Account Executive,1993-06-21,Individual Contributor,0,JP_1034,85000.0,2009,2021,147.86666666666667,12.153424657534247,MT,76000.0
100007,Kevin,Rainey,977 Black Oak Hollow Road,Santa Clara,California,95054,US,United States,33.0,NYC,2009-07-20,2011-02-11 00:00:00.000000,Corporate,Customer Service,USD,0.15,Account Manager,1990-05-13,Individual Contributor,0,JP_1020,70000.0,2009,2011,19.033333333333335,1.5643835616438355,CA,56000.0
100008,Melanie,Hurst,2751 Holden Street,San Diego,California,92103,US,United States,40.0,NYC,2009-07-27,2012-03-21 00:00:00.000000,Corporate,Sales,USD,0.15,Account Executive,1983-01-23,Individual Contributor,0,JP_1034,85000.0,2009,2012,32.266666666666666,2.652054794520548,CA,72000.0
100009,Greg,Boon,4791 Loving Acres Road,Grapevine,Texas,76051,US,United States,31.0,NYC,2009-07-27,,Corporate,Sales,USD,0.2,"Director, Sales",1992-01-04,Director,1,JP_1035,175000.0,2009,0,169.32288481628242,13.91694943695472,TX,74000.0
100010,Frank,Stockdale,1413 Roy Alley,Centennial,Colorado,80111,US,United States,34.0,NYC,2009-07-27,2014-05-13 00:00:00.000000,Corporate,Customer Service,USD,0.15,Account Manager,1989-10-21,Individual Contributor,0,JP_1020,70000.0,2009,2014,58.36666666666667,4.7972602739726025,CO,52000.0
100011,David,Fox,3186 Davis Lane,Denver,Colorado,80239,US,United States,46.0,NYC,2009-09-21,2012-12-14 00:00:00.000000,Corporate,Sales,USD,0.2,Regional Sales Manager,1977-10-17,Manager,0,JP_1036,140000.0,2009,2012,39.333333333333336,3.232876712328767,CO,80000.0
